年/週,情緒分數,重大新聞摘要
2021/1/11-1/17,55,美國1.9兆美元紓困案規劃公布，聯準會維持寬鬆，歐洲疫情惡化。
2021/1/18-1/24,58,拜登就職美國總統，宣示加強防疫與經濟復甦。美科技巨頭財報優於預期。
2021/1/25-1/31,52,GameStop等迷因股爆發散戶軋空潮，市場劇烈波動。美聯準會重申低利率與QE。
2021/2/1-2/7,55,美國參議院啟動預算協調，推動紓困案進展。歐洲多國疫苗配送延遲。
2021/2/8-2/14,58,拜登推動1.9兆美元紓困案，美債殖利率上升，市場開始擔憂通膨。
2021/2/15-2/21,60,美國2月零售銷售大增，消費信心回升。美股創新高。
2021/2/22-2/28,55,美國10年債殖利率急升至1.6%，科技股回檔。聯準會重申不急於升息。
2021/3/1-3/7,58,美國眾議院通過1.9兆美元紓困案，等待參議院審議。OPEC+維持原油減產協議，油價續漲。
2021/3/8-3/14,62,美國通過1.9兆美元紓困案，聯準會維持寬鬆，科技股領漲；比特幣創新高。
2021/3/15-3/21,60,聯準會維持寬鬆政策，預期通膨短期上升但不升息。歐洲部分國家暫停AZ疫苗接種。
2021/3/22-3/28,58,美國10年債殖利率續升，成長股承壓。歐洲疫情反彈，法國、德國收緊防疫措施。
2021/3/29-4/4,62,拜登宣布2兆美元基建計畫。美國就業數據強勁，失業率降至6%。
2021/4/5-4/11,65,"美國3月非農新增91.6萬人，失業率降至6%；S&P 500首次突破4,000點。"
2021/4/12-4/18,60,美國3月CPI年增2.6%，通膨壓力升溫。美大型銀行財報優於預期。
2021/4/19-4/25,62,拜登提出加稅計畫，市場短線震盪。美科技股財報公布。
2021/4/26-5/2,65,科技巨頭（蘋果、微軟、亞馬遜）財報亮眼，美GDP季增6.4%。印度疫情爆發，全球關注供應鏈風險。
2021/5/3-5/9,60,聯準會維持利率不變，強調就業復甦尚未完成。美4月非農新增26.6萬人，低於預期。
2021/5/10-5/16,55,美國4月CPI年增4.2%，通膨壓力升溫，科技股回檔；以色列與哈馬斯爆發衝突。
2021/5/17-5/23,57,美國CDC宣布已接種疫苗者可不戴口罩，經濟重啟預期增強。比特幣價格劇烈波動。
2021/5/24-5/30,58,聯準會官員釋放縮減QE討論訊號，市場波動加劇。美零售商財報優於預期。
2021/5/31-6/6,60,美國5月非農新增55.9萬人，失業率降至5.8%。拜登與共和黨協商基建案進展緩慢。
2021/6/7-6/13,62,G7峰會聚焦疫苗分配與全球稅改；美國5月CPI年增5%。
2021/6/14-6/20,60,聯準會會議釋出縮減QE預期，美元走強，股市短線震盪。科技股回檔。
2021/6/21-6/27,62,美國6月PMI創歷史新高，經濟復甦強勁。比特幣價格再度大跌。
2021/6/28-7/4,65,美國6月非農新增85萬人，失業率降至5.9%。OPEC+協議破局，油價劇烈波動。
2021/7/5-7/11,67,科技股創新高，資金持續流入成長板塊。美10年債殖利率下滑。
2021/7/12-7/18,65,美國6月CPI年增5.4%，通膨壓力再現。歐洲洪災影響德國經濟。
2021/7/19-7/25,60,Delta變種病毒擴散，美歐股市回檔；中國加強科技監管，教育股暴跌。
2021/7/26-8/1,62,美國GDP季增6.5%，經濟復甦強勁。聯準會會議重申縮減QE時機未到。中國加強科技監管。
2021/8/2-8/8,65,美國7月非農新增94.3萬人，失業率降至5.4%。美股再創新高。
2021/8/9-8/15,62,美國參議院通過1兆美元基建法案。中國房地產企業債務危機浮現。
2021/8/16-8/22,60,Delta疫情升溫，市場短線波動。美零售銷售下滑。
2021/8/23-8/29,58,聯準會Jackson Hole年會，鮑爾暗示年底縮減QE，美股高檔震盪。
2021/8/30-9/5,55,美國8月非農新增23.5萬人，遠低於預期。Delta疫情影響就業市場。
2021/9/6-9/12,52,美國8月CPI年增5.3%，通膨壓力未解。聯準會官員討論縮減QE時機。
2021/9/13-9/19,50,美國9月零售銷售優於預期，消費信心回升。中國恒大債務危機惡化。
2021/9/20-9/26,48,聯準會會議暗示11月開始縮減QE。美科技股回檔，能源股續強。
2021/9/27-10/3,45,美國債務上限僵局，政府關門風險升高。美股短線下挫。
2021/10/4-10/10,48,美國9月非農新增19.4萬人，遠低於預期。債務上限暫時調高。能源危機升溫。
2021/10/11-10/17,50,美國9月CPI年增5.4%，通膨壓力不減。企業財報季展開。
2021/10/18-10/24,52,美國大型銀行財報優於預期，金融股領漲。美10年債殖利率上升。
2021/10/25-10/31,55,美國GDP季增2%，低於預期。科技巨頭財報公布，獲利分化。
2021/11/1-11/7,58,聯準會宣布11月起縮減QE規模。美10月非農新增53.1萬人，失業率降至4.6%。
2021/11/8-11/14,55,美國10月CPI年增6.2%，通膨創30年新高。美股短線震盪，科技股回檔。
2021/11/15-11/21,58,美國零售銷售強勁，消費信心回升。美國國會通過1.2兆美元基建法案。
2021/11/22-11/28,52,Omicron變種病毒消息引發市場恐慌，美股大跌。美國感恩節零售強勁。
2021/11/29-12/5,50,Omicron變種病毒擴散，全球多國收緊邊境管制。美11月非農新增21萬人，低於預期。
2021/12/6-12/12,48,美國11月CPI年增6.8%，通膨壓力持續。聯準會官員討論加速縮減QE。
2021/12/13-12/19,50,聯準會宣布加速縮減QE，預計2022年升息三次。美股短線震盪，科技股回檔。
2021/12/20-12/26,55,美國12月消費者信心回升，Omicron疫情衝擊旅遊與航空股。
2021/12/27-12/31,60,美國股市年底反彈，科技股領漲。全球市場展望2022年升息與通膨風險。
2022/1/3-1/9,60,聯準會釋出鷹派訊號，市場預期升息時程提前，美股高檔震盪。
2022/1/10-1/16,58,美國CPI年增7%，創40年新高，通膨壓力升溫；科技股回檔。
2022/1/17-1/23,55,美國升息預期升溫，市場資金轉向防禦型資產。
2022/1/24-1/30,48,烏克蘭緊張局勢升溫，全球股市大幅回檔，VIX指數飆升。
2022/1/31-2/6,50,美國企業財報優於預期，市場短線反彈。
2022/2/7-2/13,45,俄烏局勢持續緊張，能源價格上漲，全球市場避險情緒升溫。
2022/2/14-2/20,38,俄羅斯部隊集結烏克蘭邊境，西方國家加強制裁威脅，市場恐慌加劇。
2022/2/21-2/27,25,2/24俄羅斯入侵烏克蘭，歐美宣布制裁，油價突破每桶100美元，全球股市劇烈震盪。
2022/2/28-3/6,28,烏俄戰事持續，能源與糧食價格飆升，歐美進一步制裁俄羅斯，市場持續動盪。
2022/3/7-3/13,32,美國宣布禁止進口俄羅斯能源，歐洲跟進，國際油價一度衝上127美元。
2022/3/14-3/20,35,聯準會啟動升息循環，美元走強，科技股承壓，美國3月CPI年增8.5%。
2022/3/21-3/27,38,烏克蘭戰事膠著，市場觀望，部分資金回流科技股。
2022/3/28-4/3,40,美國就業數據強勁，失業率降至3.6%，但通膨壓力持續。
2022/4/4-4/10,38,聯準會官員釋放加速升息訊號，市場波動加劇。
2022/4/11-4/17,35,美國3月CPI年增8.5%，通膨再創新高，市場擔憂消費動能下滑。
2022/4/18-4/24,32,IMF下修全球經濟成長預測，全球供應鏈瓶頸持續；中國封城影響全球製造業。
2022/4/25-5/1,28,美國科技巨頭財報分化，Nasdaq單月重挫13%，創2008年以來最大跌幅。
2022/5/2-5/8,25,聯準會升息2碼，鮑爾暗示後續續升息，全球資金撤離風險資產。
2022/5/9-5/15,22,美國4月CPI年增8.3%，通膨未見頂，美股進入熊市區間；比特幣、加密貨幣暴跌。
2022/5/16-5/22,28,美股短線反彈，部分企業財報優於預期，市場情緒略回升。
2022/5/23-5/29,30,美國消費者信心下滑，市場觀望，資金流向防禦型資產。
2022/5/30-6/5,28,美國5月非農新增39萬人，失業率維持3.6%，但企業獲利預警頻傳。
2022/6/6-6/12,18,美國CPI再創新高，聯準會宣布大幅升息，美股正式進入熊市，VIX飆升。
2022/6/13-6/19,15,聯準會再升息3碼，資金撤離新興市場，全球股市恐慌性拋售。
2022/6/20-6/26,20,美國經濟數據轉弱，消費信心創新低，市場短線反彈。
2022/6/27-7/3,22,美國Q2 GDP初值負成長，經濟衰退疑慮升高。
2022/7/4-7/10,25,美國6月非農新增37.2萬人，失業率維持低檔，市場觀望。
2022/7/11-7/17,28,美國6月CPI年增9.1%，通膨再創新高，市場恐慌再起。
2022/7/18-7/24,32,聯準會官員釋放鷹派訊號，市場波動加劇。
2022/7/25-7/31,35,聯準會連續升息，市場預期經濟衰退，美國Q2 GDP連兩季負成長。
2022/8/1-8/7,38,美國7月非農新增52.8萬人，失業率降至3.5%，市場短線反彈。
2022/8/8-8/14,40,美國通膨數據略低於預期，市場預期升息放緩，美股反彈。
2022/8/15-8/21,38,聯準會官員強調抗通膨決心，市場觀望。
2022/8/22-8/28,32,Jackson Hole年會，鮑爾強調高利率維持時間拉長，市場下挫。
2022/8/29-9/4,30,美國8月非農新增31.5萬人，失業率升至3.7%，市場震盪。
2022/9/5-9/11,32,美國8月CPI年增8.3%，核心通膨高於預期，美股再跌。
2022/9/12-9/18,28,聯準會連三升息，全球主要央行同步升息，美元指數創新高，新興市場壓力大。
2022/9/19-9/25,25,英國債市危機，央行緊急購債，歐洲能源危機惡化，天然氣價格飆升。
2022/9/26-10/2,22,美國經濟數據轉弱，市場避險情緒升溫。
2022/10/3-10/9,25,歐洲能源危機持續，英國央行擴大購債，美國失業率升至3.7%。
2022/10/10-10/16,28,美國9月CPI年增8.2%，通膨壓力不減。美股短線反彈。
2022/10/17-10/23,32,美國企業財報優於預期，市場信心略回升。
2022/10/24-10/30,35,美國Q3 GDP初值正成長，市場情緒回穩。
2022/10/31-11/6,38,聯準會升息2碼，市場預期升息進入尾聲，美股反彈。
2022/11/7-11/13,42,美國10月CPI低於預期，市場預期升息放緩，美股大反彈。
2022/11/14-11/20,45,美國零售銷售強勁，消費信心回升。
2022/11/21-11/27,48,歐洲央行維持寬鬆，市場預期全球升息壓力減輕。
2022/11/28-12/4,50,美國11月非農新增26.3萬人，失業率降至3.7%，市場穩定。
2022/12/5-12/11,48,美國11月CPI年增7.1%，通膨壓力略降，市場觀望。
2022/12/12-12/18,45,聯準會再升息，年底市場觀望，資金流向防禦型資產。
2022/12/19-12/25,48,美國消費者信心回升，零售銷售強勁，市場年底行情回溫。
2022/12/26-12/31,50,歐洲央行、聯準會暗示2023年升息進入尾聲，全球股市年底行情熱絡。
2023/1/2-1/8,55,美國年初反彈，市場預期升息循環尾聲，AI題材帶動科技股。
2023/1/9-1/15,60,美國12月CPI年增6.5%，通膨降溫預期，科技股續強。
2023/1/16-1/22,62,聯準會官員釋放鴿派訊號，市場預期升息步調放緩，美股續漲。
2023/1/23-1/29,65,美國Q4企業財報普遍優於預期，AI投資熱潮延燒，S&P 500創新高。
2023/1/30-2/5,60,聯準會升息1碼，暗示升息接近尾聲，市場高檔震盪。
2023/2/6-2/12,62,美國1月非農新增51.7萬人，失業率降至3.4%，經濟數據強勁。
2023/2/13-2/19,60,美國1月CPI年增6.4%，通膨壓力仍在，市場觀望。
2023/2/20-2/26,58,聯準會會議紀要偏鷹，市場預期升息週期拉長，美債殖利率上升。
2023/2/27-3/5,55,美國2月ISM製造業指數回升，消費數據穩健，AI板塊領漲。
2023/3/6-3/12,39,矽谷銀行（SVB）倒閉引發區域銀行股暴跌，聯準會緊急提供流動性支援，市場恐慌。
2023/3/13-3/19,45,瑞士信貸危機，瑞銀緊急收購，歐洲銀行股重挫，美歐央行協調流動性。
2023/3/20-3/26,50,金融危機暫緩，聯準會升息1碼但暗示接近尾聲，市場信心回升。
2023/3/27-4/2,55,美國3月消費數據改善，科技股領漲，AI投資續熱。
2023/4/3-4/9,58,美國3月非農新增23.6萬人，失業率降至3.5%，經濟數據穩健。
2023/4/10-4/16,60,美國3月CPI年增5.0%，通膨降溫，市場預期升息結束在即。
2023/4/17-4/23,62,美國Q1企業財報優於預期，AI與半導體產業表現亮眼，美股創新高。
2023/4/24-4/30,65,科技巨頭財報亮眼，Meta、微軟、Google帶動大盤續漲。
2023/5/1-5/7,62,聯準會升息1碼，暗示暫停升息，市場樂觀，AI板塊續強。
2023/5/8-5/14,65,美國4月CPI年增4.9%，通膨持續降溫，科技股續創新高。
2023/5/15-5/21,68,Nvidia財報優於預期，AI伺服器需求爆發，全球科技股大漲，AI投資熱潮。
2023/5/22-5/28,75,美國債務上限協商進展，市場信心提升，AI板塊領漲。
2023/5/29-6/4,72,美國5月非農新增33.9萬人，失業率升至3.7%，經濟數據穩健。
2023/6/5-6/11,70,美國通膨降溫，聯準會暫停升息，市場預期AI板塊續強。
2023/6/12-6/18,68,美國Q2企業財報展望正向，科技與消費類股續強。
2023/6/19-6/25,65,美國6月PMI回升，消費信心改善，AI熱潮持續。
2023/6/26-7/2,68,美國6月非農新增20.9萬人，失業率降至3.6%，市場穩健。
2023/7/3-7/9,70,美國Q2財報季開跑，科技巨頭獲利優於預期，AI產業鏈持續增溫。
2023/7/10-7/16,75,OpenAI發布GPT-5，全球AI投資熱潮，英偉達市值突破2兆美元。
2023/7/17-7/23,80,美國通膨降溫，聯準會暗示年底降息，市場樂觀。
2023/7/24-7/30,78,美國Q2 GDP年增2.4%，經濟數據優於預期，AI板塊續強。
2023/7/31-8/6,75,美國7月非農新增18.7萬人，失業率降至3.5%，市場信心穩健。
2023/8/7-8/13,72,美國7月CPI年增3.2%，通膨續降溫，市場樂觀。
2023/8/14-8/20,68,美國零售銷售強勁，消費信心回升，AI板塊震盪。
2023/8/21-8/27,60,Jackson Hole年會，鮑爾重申高利率維持時間將拉長，市場震盪。
2023/8/28-9/3,58,美國8月非農新增18.7萬人，失業率升至3.8%，市場觀望。
2023/9/4-9/10,60,美國8月CPI年增3.7%，通膨略高於預期，市場短線震盪。
2023/9/11-9/17,62,美國9月消費信心指數回升，AI與科技股領漲。
2023/9/18-9/24,65,聯準會維持利率不變，市場預期年底降息，科技股續強。
2023/9/25-10/1,62,美國Q3企業財報展望正向，AI產業鏈持續發酵。
2023/10/2-10/8,35,以巴衝突爆發，油價單週飆漲15%，全球避險情緒升溫，股市大跌。
2023/10/9-10/15,38,美國10月CPI年增3.7%，通膨壓力未解，市場觀望。
2023/10/16-10/22,40,美國Q3企業財報分化，科技股回檔，能源股領漲。
2023/10/23-10/29,45,美國GDP年增4.9%，經濟數據優於預期，市場回穩。
2023/10/30-11/5,50,聯準會維持利率不變，市場預期年底降息，科技股反彈。
2023/11/6-11/12,65,美國10月CPI降溫，市場預期升息循環結束，美股反彈。
2023/11/13-11/19,70,美國零售銷售強勁，感恩節消費旺季啟動，AI板塊續強。
2023/11/20-11/26,68,美國11月PMI回升，消費信心改善，市場穩健。
2023/11/27-12/3,70,美國11月非農新增19.9萬人，失業率降至3.7%，市場樂觀。
2023/12/4-12/10,72,聯準會暗示2024年降息循環，AI與科技板塊再創新高。
2023/12/11-12/17,75,美國12月CPI年增3.3%，通膨續降溫，年底行情熱絡。
2023/12/18-12/24,72,歐洲央行、聯準會暗示2024年有望降息，全球股市年底行情熱絡。
2023/12/25-12/31,70,年底資金行情，AI板塊續強，全球市場展望2024年降息與AI成長。
2024/1/1-1/5,58,美國12月CPI高於預期，市場擔憂降息延後，科技股回檔。
2024/1/6-1/12,60,美股反彈，市場預期升息循環尾聲，AI題材帶動科技股。
2024/1/13-1/19,62,聯準會官員釋放鴿派訊號，市場預期升息步調放緩，美股續漲。
2024/1/20-1/26,65,美國Q4企業財報普遍優於預期，AI投資熱潮延燒，S&P 500創新高。
2024/1/27-2/2,63,聯準會升息1碼，暗示升息接近尾聲，市場高檔震盪。
2024/2/3-2/9,65,美國1月非農新增51.7萬人，失業率降至3.4%，經濟數據強勁。
2024/2/10-2/16,62,美國1月CPI年增6.4%，通膨壓力仍在，市場觀望。
2024/2/17-2/23,60,聯準會會議紀要偏鷹，市場預期升息週期拉長，美債殖利率上升。
2024/2/24-3/1,58,美國2月ISM製造業指數回升，消費數據穩健，AI板塊領漲。
2024/3/2-3/8,55,美國3月非農新增23.6萬人，失業率降至3.5%，經濟數據穩健。
2024/3/9-3/15,60,美國3月CPI年增5.0%，通膨降溫，市場預期升息結束在即。
2024/3/16-3/22,62,美國Q1企業財報優於預期，AI與半導體產業表現亮眼，美股創新高。
2024/3/23-3/29,65,科技巨頭財報亮眼，Meta、微軟、Google帶動大盤續漲。
2024/3/30-4/5,62,聯準會升息1碼，暗示暫停升息，市場樂觀，AI板塊續強。
2024/4/6-4/12,60,美國4月CPI年增4.9%，通膨持續降溫，科技股續創新高。
2024/4/13-4/19,58,美國零售銷售強勁，消費信心回升，AI板塊震盪。
2024/4/20-4/26,55,以色列與伊朗爆發空襲，油價飆升，全球避險情緒升高。
2024/4/27-5/3,60,美國聯準會維持利率不變，釋放年內降息訊號，市場反彈。
2024/5/4-5/10,62,美國Q2財報季開跑，科技巨頭獲利優於預期，AI產業鏈持續增溫。
2024/5/11-5/17,65,Nvidia財報優於預期，AI伺服器需求爆發，全球科技股大漲。
2024/5/18-5/24,68,美國通膨降溫，聯準會暫停升息，市場預期AI板塊續強。
2024/5/25-5/31,70,美國6月PMI回升，消費信心改善，AI熱潮持續。
2024/6/1-6/7,72,美國6月非農新增20.9萬人，失業率降至3.6%，市場穩健。
2024/6/8-6/14,75,美國Q2財報季持續，科技與消費類股續強。
2024/6/15-6/21,78,美國GDP年增2.4%，經濟數據優於預期，AI板塊續強。
2024/6/22-6/28,80,美國7月非農新增18.7萬人，失業率降至3.5%，市場信心穩健。
2024/6/29-7/5,82,美國7月CPI年增3.2%，通膨續降溫，市場樂觀。
2024/7/6-7/12,85,美國零售銷售強勁，消費信心回升，AI板塊震盪。
2024/7/13-7/19,88,OpenAI發布GPT-5，全球AI投資熱潮，英偉達市值突破2兆美元。
2024/7/20-7/26,90,美國通膨降溫，聯準會暗示年底降息，市場樂觀。
2024/7/27-8/2,88,美國Q2 GDP年增2.4%，經濟數據優於預期，AI板塊續強。
2024/8/3-8/9,85,美國7月非農新增18.7萬人，失業率降至3.5%，市場信心穩健。
2024/8/10-8/16,82,美國7月CPI年增3.2%，通膨續降溫，市場樂觀。
2024/8/17-8/23,80,美國零售銷售強勁，消費信心回升，AI板塊震盪。
2024/8/24-8/30,78,Jackson Hole年會，鮑爾重申高利率維持時間將拉長，市場短線震盪。
2024/8/31-9/6,75,美國8月非農新增18.7萬人，失業率升至3.8%，市場觀望。
2024/9/7-9/13,72,美國8月CPI年增3.7%，通膨略高於預期，市場短線震盪。
2024/9/14-9/20,70,美國9月消費信心指數回升，AI與科技股領漲。
2024/9/21-9/27,68,聯準會維持利率不變，市場預期年底降息，科技股續強。
2024/9/28-10/4,65,美國Q3企業財報展望正向，AI產業鏈持續發酵。
2024/10/5-10/11,35,以巴衝突爆發，油價單週飆漲15%，全球避險情緒升溫，股市大跌。
2024/10/12-10/18,38,美國10月CPI年增3.7%，通膨壓力未解，市場觀望。
2024/10/19-10/25,40,美國Q3企業財報分化，科技股回檔，能源股領漲。
2024/10/26-11/1,45,美國GDP年增4.9%，經濟數據優於預期，市場回穩。
2024/11/2-11/8,50,聯準會維持利率不變，市場預期年底降息，科技股反彈。
2024/11/9-11/15,65,美國10月CPI降溫，市場預期升息循環結束，美股反彈。
2024/11/16-11/22,70,美國零售銷售強勁，感恩節消費旺季啟動，AI板塊續強。
2024/11/23-11/29,68,美國11月PMI回升，消費信心改善，市場穩健。
2024/11/30-12/6,70,美國11月非農新增19.9萬人，失業率降至3.7%，市場樂觀。
2024/12/7-12/13,72,聯準會暗示2025年降息循環，AI與科技板塊再創新高。
2024/12/14-12/20,75,美國12月CPI年增3.3%，通膨續降溫，年底行情熱絡。
2024/12/21-12/27,72,歐洲央行、聯準會暗示2025年有望降息，全球股市年底行情熱絡。
2024/12/28-12/31,70,年底資金行情，AI板塊續強，全球市場展望2025年降息與AI成長。
2025/1/1-1/5,60,川普第二任期開局，市場聚焦新貿易政策訊號，美股維持高檔。
2025/1/6-1/12,65,美國就業數據強勁，科技股領漲，市場對AI與降息預期樂觀。
2025/1/13-1/19,62,聯準會官員釋放鴿派訊號，市場預期年中可能降息，美元走弱。
2025/1/20-1/26,55,川普就職典禮，強調美國優先與貿易保護，市場觀望。
2025/1/27-2/2,52,白宮傳出將啟動關稅審查，全球供應鏈相關企業股價震盪。
2025/2/3-2/9,45,美國宣布對全球進口商品加徵10%關稅，對中國、墨西哥、加拿大加徵25%；中國宣布報復性關稅，全球股市大跌。
2025/2/10-2/16,38,貿易戰升級，歐盟考慮反制，VIX恐慌指數飆升，資金湧入債市與黃金。
2025/2/17-2/23,35,全球出口導向國家股市重挫，美國出口企業下修全年獲利預測。
2025/2/24-3/2,32,"全球股市暴跌，道瓊兩天跌逾4,000點，IMF上修美國衰退機率至40%。"
2025/3/3-3/9,35,美國初領失業金人數大增，經濟衰退風險升高，聯準會釋放可能提前降息訊號。
2025/3/10-3/16,40,美國科技巨頭下修全年展望，AI板塊支撐大盤，歐洲央行釋放寬鬆訊號。
2025/3/17-3/23,45,美國、加拿大達成部分貿易協議，汽車及農產品關稅暫緩執行，北美股市短線反彈。
2025/3/24-3/30,50,S&P 500止跌回升，投資人期待關稅政策鬆動，市場情緒開始修復。
2025/3/31-4/6,38,川普宣布對全球進口商品加徵10%關稅，對中、墨、加加徵25%；全球貿易緊張，美股大跌，油價單週跌7%。
2025/4/7-4/13,35,"中國報復性加稅34%，歐盟考慮反制；道瓊兩日跌逾4,000點，VIX飆升；美出口企業下修獲利預測。"
2025/4/14-4/20,42,美國初領失業金人數大增，經濟衰退疑慮；微軟、英偉達等科技巨頭財報，AI板塊支撐大盤；歐洲央行釋放寬鬆訊號。
2025/4/21-4/27,50,美加達成部分貿易協議，汽車農產品關稅暫緩，北美股市反彈；中國對部分美高科技產品減免關稅，科技股領漲。
2025/4/28-5/4,62,川普宣布對中國以外國家關稅暫緩90天，美股創兩年來最大單日漲幅；聯準會維持利率不變但暗示下半年降息。
2025/5/5-5/5,65,S&P 500連九日上漲，科技巨頭財報優於預期，市場對降息預期樂觀
2025/5/5-5/11,70,美國延後關稅、英美達成協議，政策利多釋放
2025/5/12-5/18,85,美中達成大幅降低關稅協議，引發股市飆漲；科技股領漲，Nvidia等公司表現強勁；台積電股價逼近千元，市場對其前景普遍樂觀。
2025/05/19-2025/05/25,75,輝達利多消息激勵市場；川普關稅政策影響台灣房市；德國經濟數據向好，顯示全球經濟復甦動能。
